"","V1","V2","value"
"1","-","-",-0.0746666666666673
"2","-","+",0.0613333333333337
"3","+","-",-0.320666666666666
"4","+","+",-0.0686666666666671
"5","-","-",-0.0586666666666673
"6","-","+",0.0533333333333328
"7","+","-",-0.732666666666667
"8","+","+",0.195333333333334
"9","-","-",-0.00266666666666637
"10","-","+",0.109333333333334
"11","+","-",-0.230666666666666
"12","+","+",0.321333333333333
"13","-","-",-0.0886666666666667
"14","-","+",0.0933333333333337
"15","+","-",0.329333333333333
"16","+","+",0.0653333333333332
"17","-","-",-0.038666666666666
"18","-","+",0.173333333333334
"19","+","-",0.497333333333334
"20","+","+",-0.294666666666666
"21","-","-",-0.0646666666666675
"22","-","+",0.125333333333334
"23","+","-",0.293333333333333
"24","+","+",-0.342666666666666
