"","sfp","ssp","GPA_year1","GPA_year2","grade_20059_fall","gpa0","sex","goodstanding_year1","goodstanding_year2"
"23","0","0",0.379999995231628,0.8299999833107,54,74.3000030517578,"M",0,0
"24","0","0",1.98000001907349,1.62999999523163,71,73.6999969482422,"F",1,1
"26","0","0",1.5900000333786,0.660000026226044,68.5,73,"M",1,0
"27","0","0",0.889999985694885,1.54999995231628,59,73.5,"F",0,0
"32","1","0",0.910000026226044,1.76999998092651,52,72.3000030517578,"M",0,0
"45","0","0",0.300000011920929,0.709999978542328,56,75,"F",0,0
"63","0","0",2.91000008583069,2.46000003814697,81.3333358764648,73.6999969482422,"M",1,1
"71","0","0",0,0.230000004172325,40,74.5,"M",0,0
"95","1","1",0.990000009536743,1.30999994277954,55,72.8000030517578,"M",0,0
"99","0","0",0.850000023841858,2,51,74,"F",0,0
"102","1","0",1.04999995231628,1.01999998092651,66,75,"M",0,0
"104","1","0",2.45000004768372,3.22000002861023,63,75,"M",0,1
"105","0","0",0.639999985694885,2.40000009536743,50,72,"M",0,0
"122","0","0",2.27999997138977,2.66000008583069,68,71.8000030517578,"M",1,1
"139","0","0",1.58000004291534,1.86000001430511,60.5,73.6999969482422,"M",1,1
"153","0","0",1.38999998569489,1.33000004291534,70,74.8000030517578,"F",0,1
"168","0","0",1.38999998569489,2.40000009536743,53.5,74.8000030517578,"F",0,1
"171","1","0",1.87999999523163,2.32999992370605,68.5,74,"M",1,1
"176","1","0",0.230000004172325,0.400000005960464,49,75.1999969482422,"F",0,0
"193","0","0",0.850000023841858,1.52999997138977,73,72.1999969482422,"M",0,0
"214","0","0",1.86000001430511,2,59.5,74.1999969482422,"M",1,1
"221","1","0",2.08999991416931,2.38000011444092,66,73.6999969482422,"M",1,1
"237","0","1",0.930000007152557,0.140000000596046,67,71.8000030517578,"F",0,0
"244","0","0",2.09999990463257,1.76999998092651,66,75,"F",1,1
"248","0","0",1.42999994754791,1.75999999046326,70,72.3000030517578,"F",0,1
"253","0","0",0.72000002861023,0.52999997138977,47,74,"F",0,0
"255","0","0",1.25999999046326,2.59999990463257,59.5,72.3000030517578,"M",0,1
"256","0","0",0.899999976158142,1.67999994754791,50,68.6999969482422,"F",0,0
"267","0","0",0,0,2,73.6999969482422,"F",0,0
"277","0","1",1.17999994754791,1.67999994754791,64.5,73.5,"M",0,0
"283","0","0",0.509999990463257,1.88999998569489,41.5,74.6999969482422,"M",0,0
"284","0","0",0.850000023841858,1.37999999523163,48,72.3000030517578,"M",0,0
"288","0","0",1.86000001430511,0.870000004768372,65.3333358764648,72.6999969482422,"M",1,1
"294","0","0",0.980000019073486,0.850000023841858,57.5,73.8000030517578,"F",0,0
"304","1","0",2.11999988555908,3.00999999046326,78,73.8000030517578,"F",1,1
"306","0","0",1.8400000333786,0,71,74.3000030517578,"F",0,0
"315","1","1",2.03999996185303,2.39000010490417,68.6666641235352,72,"M",1,1
"321","0","0",1.89999997615814,2.95000004768372,64.5,74.5,"M",0,1
"325","0","0",2.4300000667572,2.09999990463257,70,71.5,"F",1,1
"336","0","0",1.26999998092651,0,62,75,"F",0,0
"340","0","1",2.23000001907349,2.32999992370605,77.5,72.1999969482422,"F",1,1
"345","0","0",1.46000003814697,1.37999999523163,60,73.8000030517578,"F",0,0
"349","0","0",1.5900000333786,2.13000011444092,60.5,72.3000030517578,"F",1,1
"351","0","0",1.04999995231628,2.36999988555908,63.5,74.6999969482422,"F",0,1
"360","0","1",0.25,0.280000001192093,45,72.5,"F",0,0
"361","0","0",0.409999996423721,0,49,74.1999969482422,"M",0,0
"367","0","1",1.5,2.17000007629395,59,72.6999969482422,"F",1,1
"376","0","0",1.79999995231628,0.850000023841858,41,74,"M",0,1
"382","0","0",0.730000019073486,0.8299999833107,60,72,"F",0,0
"389","0","0",2.23000001907349,2.15000009536743,64.5,68,"M",0,1
"402","1","1",2.39000010490417,1.42999994754791,70,75.1999969482422,"M",1,1
"407","1","1",1.92999994754791,2.34999990463257,67,74.8000030517578,"F",0,1
"410","0","0",0,1.89999997615814,20.6666660308838,73.5,"F",0,0
"416","1","1",1.51999998092651,2.36999988555908,61.5,74.8000030517578,"F",1,1
"423","1","0",1.96000003814697,2.13000011444092,69.6666641235352,72.8000030517578,"F",1,1
"429","0","1",1.79999995231628,2.47000002861023,63.5,75,"M",1,1
"437","0","0",0,1.23000001907349,33.5,74.8000030517578,"F",0,0
"440","0","1",1.76999998092651,2.0699999332428,62,72.1999969482422,"M",0,1
"441","0","0",1.87000000476837,1.30999994277954,57,74.1999969482422,"M",1,1
"469","0","0",1.21000003814697,1,58,74.6999969482422,"M",0,0
"477","1","0",2.00999999046326,1.22000002861023,62,73.6999969482422,"M",1,1
"478","0","1",1.37000000476837,1.1599999666214,62,71.6999969482422,"M",0,0
"481","0","1",2,2.14000010490417,63,73.1999969482422,"M",1,1
"485","1","0",1.10000002384186,0.610000014305115,57,72.8000030517578,"M",0,0
"486","0","1",1.3400000333786,1.62999999523163,58,75,"F",0,1
"488","1","0",0.430000007152557,0.100000001490116,42,72.8000030517578,"F",0,0
"504","0","0",1.80999994277954,2.42000007629395,53,72.3000030517578,"M",1,1
"508","0","1",2.33999991416931,2.11999988555908,64,74.1999969482422,"M",1,1
"515","0","0",1.63999998569489,1.35000002384186,77,74.3000030517578,"M",1,1
"516","0","1",2.38000011444092,2.10999989509583,66.3333358764648,72.8000030517578,"M",1,1
"518","0","0",0.680000007152557,1.75999999046326,70,74.5,"F",0,0
"531","0","0",1.38999998569489,1,64,74.1999969482422,"F",0,0
"534","1","0",2.58999991416931,1.8400000333786,73,74.3000030517578,"M",1,1
"539","0","0",0.119999997317791,1.28999996185303,50,74.6999969482422,"F",0,0
"553","1","0",2.66000008583069,2.97000002861023,70.5,72.8000030517578,"F",1,1
"557","0","1",3.00999999046326,3.13000011444092,69.3333358764648,73.8000030517578,"M",0,1
"558","0","1",3.27999997138977,3.5699999332428,80,74,"M",1,1
"559","0","0",0.72000002861023,1.6599999666214,57,74,"M",0,0
"564","0","0",0.170000001788139,0.389999985694885,53,74.1999969482422,"F",0,0
"568","0","0",1.35000002384186,1.82000005245209,64,71.3000030517578,"F",0,1
"574","0","0",0.219999998807907,0.389999985694885,59,73,"F",0,0
"576","0","0",1.29999995231628,2.63000011444092,56,75,"F",0,1
"580","0","0",1.89999997615814,2.15000009536743,71,72.8000030517578,"F",1,1
"581","1","1",1.26999998092651,1.94000005722046,39,72.5,"F",0,1
"583","0","0",1.72000002861023,1.97000002861023,60,72.3000030517578,"F",1,1
"585","0","0",2.10999989509583,1.95000004768372,61.5,74.3000030517578,"F",1,1
"586","0","0",1.12000000476837,2.23000001907349,62.5,75,"F",0,1
"598","0","0",0,0,39,72,"F",0,0
"600","0","0",1.92999994754791,2.5699999332428,74,74.1999969482422,"M",1,1
"606","0","1",0,0,0,73.3000030517578,"F",0,0
"608","0","1",2.03999996185303,2.13000011444092,68,74.5,"F",0,1
"617","1","0",0.97000002861023,1.49000000953674,55,72.5,"F",0,0
"620","0","0",0.709999978542328,1.95000004768372,55,72.3000030517578,"F",0,1
"623","0","0",1.9099999666214,2.14000010490417,62,71.6999969482422,"F",1,1
"629","0","0",1.94000005722046,2.04999995231628,77,71.5,"M",0,1
"634","0","0",1.5,1.61000001430511,60,73.3000030517578,"M",0,1
"638","0","0",1.75999999046326,0.870000004768372,68,73.5,"F",1,0
"644","0","0",1.82000005245209,2.88000011444092,74.5,74.8000030517578,"M",1,1
"649","0","0",1.00999999046326,2.49000000953674,55.6666679382324,72.1999969482422,"M",0,1
"656","0","0",3,1.85000002384186,76,73.3000030517578,"F",0,1
"660","0","0",2.27999997138977,2.61999988555908,66,74.8000030517578,"M",0,1
"668","0","0",2.23000001907349,2.27999997138977,80,74.6999969482422,"F",1,1
"672","0","0",1.45000004768372,1.53999996185303,60,71.8000030517578,"F",0,0
"684","1","1",1.17999994754791,1.25999999046326,63.5,74.5,"F",0,0
"687","0","0",0.839999973773956,0,51,71,"F",0,0
"689","0","0",1.23000001907349,1.80999994277954,51,73.5,"F",0,1
"692","0","0",2.02999997138977,2.5699999332428,70.6666641235352,73.5,"F",1,1
"693","0","0",2.14000010490417,2.46000003814697,65.5,72.8000030517578,"M",0,1
"699","1","1",0.680000007152557,1,46,72.1999969482422,"M",0,0
"704","0","1",1.57000005245209,0.620000004768372,61.5,71.8000030517578,"F",0,0
"708","1","0",2.23000001907349,3.38000011444092,63,75.1999969482422,"M",0,1
"709","0","0",0.409999996423721,1.66999995708466,45,74.5,"M",0,0
"712","0","0",2.5,2.75,57,73.6999969482422,"M",1,1
"718","1","0",0.77999997138977,0,59,72.5,"F",0,0
"719","1","0",1.69000005722046,1.12000000476837,72,74,"F",1,0
"727","1","0",1.05999994277954,0.959999978542328,64,71.8000030517578,"M",0,0
"737","0","0",0.810000002384186,2.23000001907349,59.5,72.3000030517578,"F",0,0
"757","1","0",2.19000005722046,1.9099999666214,69.5,75,"F",1,1
"760","1","0",1.39999997615814,1.54999995231628,52.6666679382324,73.3000030517578,"M",0,0
"768","0","0",1.01999998092651,1.95000004768372,49,75.1999969482422,"M",0,0
"773","1","0",0.389999985694885,0.6700000166893,70,72.1999969482422,"M",0,0
"784","0","0",1.6599999666214,1.86000001430511,62,72,"F",1,1
"794","0","1",2.34999990463257,2,61.5,74.3000030517578,"M",0,1
"809","0","1",0.189999997615814,1,57,72.5,"M",0,0
"826","0","0",1.13999998569489,0,57.3333320617676,72.8000030517578,"M",0,0
"827","0","0",1.46000003814697,2.23000001907349,63,72.5,"F",0,1
"839","0","0",1.45000004768372,0.949999988079071,55,73,"F",0,0
"843","0","1",1.85000002384186,2.80999994277954,81,71.3000030517578,"M",1,1
"844","1","1",1,1.64999997615814,64,74.3000030517578,"F",0,0
"845","1","0",2.40000009536743,2.32999992370605,72,73.8000030517578,"F",1,1
"848","1","0",1.23000001907349,0.910000026226044,65,75.1999969482422,"M",0,0
"854","0","1",2.22000002861023,2.75999999046326,72,73.8000030517578,"F",1,1
"870","0","0",1.87999999523163,2.79999995231628,71,73.8000030517578,"F",1,1
"871","0","0",0.6700000166893,0.140000000596046,65,75,"F",0,0
"872","0","0",0.25,0,54,73.3000030517578,"M",0,0
"875","1","0",2.61999988555908,2.25,68,72.5,"M",0,1
"880","0","0",0.25,1.07000005245209,54,72.3000030517578,"F",0,0
"881","1","1",2.41000008583069,2.34999990463257,73,71.5,"M",1,1
"882","0","1",1.62999999523163,1.79999995231628,76,74,"F",1,1
"883","0","1",1.28999996185303,1.5900000333786,77,73.8000030517578,"M",0,0
"886","0","0",1.1599999666214,1.42999994754791,43,72.1999969482422,"F",0,0
"889","0","0",0.200000002980232,0.8299999833107,53,71.5,"F",0,0
"891","0","0",0.77999997138977,1.35000002384186,53,71.6999969482422,"M",0,0
"897","0","0",1.62999999523163,2.01999998092651,54,71.5,"F",1,1
"901","0","0",1.48000001907349,1.85000002384186,54,74,"M",0,1
"909","0","0",2.40000009536743,2.67000007629395,75,74.8000030517578,"M",0,1
"914","0","0",1.52999997138977,2.08999991416931,57,73,"F",1,1
