,MR,experience.variation,helpfulness,gender,age,education,altruism
4,No,RichRich,0.6666667,Female,50,Bachelor's degree,0.5
22,No,RichRich,0.6666667,Male,42,Master's degree,0.1
7,Yes,RichRich,0.3333333,Female,28,Bachelor's degree,0.5
21,Yes,RichRich,1,Male,31,Bachelor's degree,0.5
10,No,RichRich,0.6666667,Male,50,Bachelor's degree,0.5
25,No,RichPoor,0.6666667,Female,46,Master's degree,0.5
1,Yes,RichPoor,2,Female,51,Bachelor's degree,NA
9,Yes,RichPoor,0.6666667,Female,30,Master's degree,0.6
16,No,RichRich,0.5,Female,28,Bachelor's degree,0.5
27,Yes,RichRich,1,Male,40,Master's degree,0.715
22.1,No,RichRich,0.6666667,Male,42,Master's degree,0.1
2,Yes,RichPoor,0.6666667,Female,32,Bachelor's degree,0.5
25.1,No,RichPoor,0.6666667,Female,46,Master's degree,0.5
24,No,RichPoor,0.6666667,Female,25,,0.5
16.1,No,RichRich,0.5,Female,28,Bachelor's degree,0.5
10.1,No,RichRich,0.6666667,Male,50,Bachelor's degree,0.5
5,No,RichRich,1,Male,38,Bachelor's degree,0.4
26,No,RichPoor,0.2,Male,38,,0.5
12,No,RichPoor,0.2222222,Male,44,Master's degree,0.35
3,No,RichPoor,0.25,Female,44,Bachelor's degree,0.5
15,No,RichPoor,0.1333333,Female,26,,0.35
13,Yes,RichPoor,2,Male,44,Bachelor's degree,0.5
15.1,No,RichPoor,0.1333333,Female,26,,0.35
25.2,No,RichPoor,0.6666667,Female,46,Master's degree,0.5
27.1,Yes,RichRich,1,Male,40,Master's degree,0.715
6,Yes,RichRich,0.3333333,Male,41,Master's degree,0.375
27.2,Yes,RichRich,1,Male,40,Master's degree,0.715
13.1,Yes,RichPoor,2,Male,44,Bachelor's degree,0.5
21.1,Yes,RichRich,1,Male,31,Bachelor's degree,0.5
20,No,RichPoor,0.5,Female,25,,0.5
5.1,No,RichRich,1,Male,38,Bachelor's degree,0.4
10.2,No,RichRich,0.6666667,Male,50,Bachelor's degree,0.5
19,No,RichPoor,0.6666667,Male,42,,0.68
4.1,No,RichRich,0.6666667,Female,50,Bachelor's degree,0.5
27.3,Yes,RichRich,1,Male,40,Master's degree,0.715
3.1,No,RichPoor,0.25,Female,44,Bachelor's degree,0.5
18,No,RichRich,0.2,Male,48,Master's degree,0.3
6.1,Yes,RichRich,0.3333333,Male,41,Master's degree,0.375
12.1,No,RichPoor,0.2222222,Male,44,Master's degree,0.35
4.2,No,RichRich,0.6666667,Female,50,Bachelor's degree,0.5
